Model,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC
GradientBoosting,0.8005677785663591,0.6608996539792388,0.5106951871657754,0.5761689291101055,0.8465021054535121,0.6679622566949952
RandomForest,0.765791341376863,0.5416666666666666,0.7647058823529411,0.6341463414634146,0.845678007698468,0.659322721001593
LogisticRegression_SMOTE,0.7459190915542938,0.5139372822299652,0.7887700534759359,0.6223628691983122,0.8440621044201607,0.6594901863022855
